ticker,method,total_return,ann_return,ann_vol,sharpe,max_drawdown,n_trades,exposure,cost_drag,gross_return
XOM,always_up,0.07640005829246155,0.037802592258907364,0.22227661746062527,0.17007003566447482,-0.18731123018173546,1,1.0,0.000526679405122632,0.07692673769758418
XOM,arima,0.08159727596736555,0.04032504700900996,0.22224954204849556,0.18144040539894973,-0.1873112301817358,3,0.998,0.0016186195763703282,0.08321589554373587
XOM,prophet,-0.20282098205666255,-0.10796036129780606,0.15115259253648483,-0.714247499736049,-0.3390028090946561,65,0.458,0.026313950054618007,-0.17650703200204454
XOM,xgboost,0.02073108497925058,0.010395296290382827,0.14917586085250553,0.06968484197762369,-0.18201823146378682,184,0.494,0.09843337344610359,0.11916445842535417
XOM,lstm_returns,0.07640005829246155,0.037802592258907364,0.22227661746062527,0.17007003566447482,-0.18731123018173546,1,1.0,0.000526679405122632,0.07692673769758418
KO,buy_and_hold,0.05137153514649828,0.025569584061380324,0.13133053178450604,0.1946964176109195,-0.17266473130159232,1,1.0,0.0005320399461545833,0.051903575092652865
KO,persistence_zero,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
KO,momentum,-0.1373447466613883,-0.07175635463566221,0.09491572413872748,-0.756000707857258,-0.18863998567799134,254,0.516,0.11688721395596313,-0.020457532705425163
KO,always_up,0.05137153514649828,0.025569584061380324,0.13133053178450604,0.1946964176109195,-0.17266473130159232,1,1.0,0.0005320399461545833,0.051903575092652865
KO,arima,0.03582324920137592,0.017897317640513277,0.13092742579366148,0.13669647541011787,-0.17862655845422848,5,0.996,0.0025989015923018055,0.03842215079367772
KO,prophet,0.02502937128716809,0.012537461792612392,0.0961725138249596,0.13036429322655962,-0.12730595110381326,110,0.512,0.05793592411829618,0.08296529540546427
KO,xgboost,-0.001427093171107896,-0.0007195096976266857,0.08987898265612497,-0.008005316441770532,-0.11946411390374201,175,0.508,0.09134184923591537,0.08991475606480748
KO,lstm_returns,0.035848527160073695,0.017909837176224297,0.13015984074702105,0.13759879447789042,-0.17266473130159232,9,0.982,0.004676987618634998,0.04052551477870869
