ticker,fold,method,train_days,test_days,rmse_ret,dir_acc,fit_secs
META,3,momentum,805,100,0.03236291450381214,0.53,0.0
META,3,always_up,805,100,,0.56,0.0
META,3,arima,805,100,0.02268320337092001,0.56,1.54
META,3,prophet,805,100,0.023838169103595923,0.56,0.19
META,3,xgboost,805,100,0.025716123009418373,0.55,0.17
META,3,lstm_returns,805,100,0.02264919104125929,0.55,4.18
META,4,persistence_zero,905,100,0.01541658357195606,,0.0
META,4,momentum,905,100,0.022024567653492158,0.45454545454545453,0.0
META,4,always_up,905,100,,0.5050505050505051,0.0
META,4,arima,905,100,0.015347152271634844,0.5050505050505051,1.67
META,4,prophet,905,100,0.016671977934099618,0.3939393939393939,0.21
META,4,xgboost,905,100,0.017994193869131096,0.5858585858585859,0.17
META,4,lstm_returns,905,100,0.015484627761503292,0.47474747474747475,4.36
NVDA,0,persistence_zero,505,100,0.03935232573256697,,0.0
NVDA,0,momentum,505,100,0.05292526360099979,0.62,0.0
NVDA,0,always_up,505,100,,0.61,0.0
NVDA,0,arima,505,100,0.039265744372984544,0.57,1.18
NVDA,0,prophet,505,100,0.04140284647221279,0.5,0.17
NVDA,0,xgboost,505,100,0.03878062722379582,0.48,0.19
NVDA,0,lstm_returns,505,100,0.03913697816259533,0.47,3.29
NVDA,1,persistence_zero,605,100,0.025173313201931575,,0.0
NVDA,1,momentum,605,100,0.03675685670766281,0.53,0.0
NVDA,1,always_up,605,100,,0.5,0.0
NVDA,1,arima,605,100,0.025217253426050718,0.5,1.07
NVDA,1,prophet,605,100,0.027559257575438013,0.47,0.17
NVDA,1,xgboost,605,100,0.02985426440072817,0.49,0.19
NVDA,1,lstm_returns,605,100,0.025487462342138962,0.49,5.58
NVDA,2,persistence_zero,705,100,0.029178748901977723,,0.0
NVDA,2,momentum,705,100,0.04030209382924409,0.5353535353535354,0.0
NVDA,2,always_up,705,100,,0.6262626262626263,0.0
NVDA,2,arima,705,100,0.028665987550855955,0.6161616161616161,1.29
NVDA,2,prophet,705,100,0.028679306586702237,0.6262626262626263,0.18
NVDA,2,xgboost,705,100,0.029118040628120383,0.5959595959595959,0.2
NVDA,2,lstm_returns,705,100,0.02855648913078597,0.6060606060606061,4.06
NVDA,3,persistence_zero,805,100,0.036735418852226503,,0.0
NVDA,3,momentum,805,100,0.05643733428489233,0.47,0.0
NVDA,3,always_up,805,100,,0.53,0.0
NVDA,3,arima,805,100,0.036567778024583615,0.53,1.87
NVDA,3,prophet,805,100,0.03646443348488715,0.54,0.2
NVDA,3,xgboost,805,100,0.037200746444744776,0.59,0.16
NVDA,3,lstm_returns,805,100,0.03635608568121303,0.54,5.82
NVDA,4,persistence_zero,905,100,0.028088581083301898,,0.0
NVDA,4,momentum,905,100,0.03866779246783594,0.47,0.0
NVDA,4,always_up,905,100,,0.55,0.0
NVDA,4,arima,905,100,0.028023600734156877,0.55,1.7
NVDA,4,prophet,905,100,0.028423626750100087,0.58,0.24
NVDA,4,xgboost,905,100,0.03071725089077098,0.53,0.18
NVDA,4,lstm_returns,905,100,0.0285957347587195,0.49,5.41
JPM,0,persistence_zero,505,100,0.016787838476648016,,0.0
JPM,0,momentum,505,100,0.025172426752813157,0.48,0.0
JPM,0,always_up,505,100,,0.53,0.0
JPM,0,arima,505,100,0.017094745562630017,0.46,0.94
JPM,0,prophet,505,100,0.01771043412315721,0.5,0.21
JPM,0,xgboost,505,100,0.018937610475230824,0.47,0.17
JPM,0,lstm_returns,505,100,0.016928358326047298,0.46,3.55
JPM,1,persistence_zero,605,100,0.009915783261497396,,0.0
JPM,1,momentum,605,100,0.013730691687144407,0.51,0.0
JPM,1,always_up,605,100,,0.53,0.0
JPM,1,arima,605,100,0.009905165914928364,0.49,1.15
JPM,1,prophet,605,100,0.011212088652030881,0.46,0.2
JPM,1,xgboost,605,100,0.012799396569597707,0.48,0.18
JPM,1,lstm_returns,605,100,0.009946416731821546,0.45,3.46
JPM,2,persistence_zero,705,100,0.009125187030784724,,0.0
JPM,2,momentum,705,100,0.012643176379291679,0.47,0.0
JPM,2,always_up,705,100,,0.66,0.0
JPM,2,arima,705,100,0.009003882550137912,0.61,1.39
JPM,2,prophet,705,100,0.010467299791799682,0.44,0.2
JPM,2,xgboost,705,100,0.01210994020290267,0.41,0.17
JPM,2,lstm_returns,705,100,0.009234814655686284,0.39,4.45
JPM,3,persistence_zero,805,100,0.014798673447263164,,0.0
JPM,3,momentum,805,100,0.019916432065713804,0.58,0.0
JPM,3,always_up,805,100,,0.55,0.0
JPM,3,arima,805,100,0.01471954810493843,0.55,1.42
JPM,3,prophet,805,100,0.014881998587415388,0.56,0.21
JPM,3,xgboost,805,100,0.01598501069033791,0.47,0.17
JPM,3,lstm_returns,805,100,0.014745954535101321,0.54,4.16
JPM,4,persistence_zero,905,100,0.017338419439769617,,0.0
JPM,4,momentum,905,100,0.027129248608991022,0.54,0.0
JPM,4,always_up,905,100,,0.58,0.0
JPM,4,arima,905,100,0.01756274892883131,0.51,1.54
JPM,4,prophet,905,100,0.01734176924302008,0.5,0.21
JPM,4,xgboost,905,100,0.017782639509135983,0.58,0.18
JPM,4,lstm_returns,905,100,0.017297761561517803,0.6,5.08
XOM,0,persistence_zero,505,100,0.017767405256979067,,0.0
XOM,0,momentum,505,100,0.024980204055408305,0.53,0.0
XOM,0,always_up,505,100,,0.48,0.0
XOM,0,arima,505,100,0.017901363169164273,0.49,1.57
XOM,0,prophet,505,100,0.018307874096917115,0.45,0.19
XOM,0,xgboost,505,100,0.020601521348426376,0.44,0.16
XOM,0,lstm_returns,505,100,0.017872871925090537,0.48,3.96
XOM,1,persistence_zero,605,100,0.015077947281677637,,0.0
XOM,1,momentum,605,100,0.020846455462897328,0.54,0.0
XOM,1,always_up,605,100,,0.57,0.0
XOM,1,arima,605,100,0.015077261098320468,0.57,1.36
XOM,1,prophet,605,100,0.01594977204165371,0.42,0.24
XOM,1,xgboost,605,100,0.016511784573869693,0.58,0.17
XOM,1,lstm_returns,605,100,0.015026839235950074,0.57,3.8
XOM,2,persistence_zero,705,100,0.011938260458057938,,0.0
XOM,2,momentum,705,100,0.016819494160575578,0.494949494949495,0.0
XOM,2,always_up,705,100,,0.47474747474747475,0.0
XOM,2,arima,705,100,0.012020110392213543,0.47474747474747475,2.09
XOM,2,prophet,705,100,0.012955642534441175,0.42424242424242425,0.19
XOM,2,xgboost,705,100,0.016334610864267175,0.47474747474747475,0.17
XOM,2,lstm_returns,705,100,0.012005919576970685,0.47474747474747475,4.64
XOM,3,persistence_zero,805,100,0.011492378272844798,,0.0
XOM,3,momentum,805,100,0.015886005829376795,0.5555555555555556,0.0
XOM,3,always_up,805,100,,0.5252525252525253,0.0
XOM,3,arima,805,100,0.011493463293672328,0.5252525252525253,1.36
XOM,3,prophet,805,100,0.01193785784287123,0.3939393939393939,0.22
XOM,3,xgboost,805,100,0.013119219763170832,0.43434343434343436,0.18
XOM,3,lstm_returns,805,100,0.011434915687539772,0.5252525252525253,5.27
XOM,4,persistence_zero,905,100,0.01269780925959418,,0.0
XOM,4,momentum,905,100,0.017309658239476833,0.58,0.0
XOM,4,always_up,905,100,,0.47,0.0
XOM,4,arima,905,100,0.012826461315627282,0.47,1.89
XOM,4,prophet,905,100,0.012623735955693221,0.57,0.24
XOM,4,xgboost,905,100,0.013226501396511495,0.61,0.19
XOM,4,lstm_returns,905,100,0.012818954690787561,0.47,4.23
KO,0,persistence_zero,505,100,0.007925978066576722,,0.0
KO,0,momentum,505,100,0.011806598168601577,0.5408163265306123,0.0
KO,0,always_up,505,100,,0.47959183673469385,0.0
KO,0,arima,505,100,0.007989983577441823,0.4897959183673469,1.37
KO,0,prophet,505,100,0.0076661592313467366,0.5204081632653061,0.18
KO,0,xgboost,505,100,0.00937396019373518,0.4897959183673469,0.16
KO,0,lstm_returns,505,100,0.008073549557077309,0.47959183673469385,3.55
KO,1,persistence_zero,605,100,0.009156019885403105,,0.0
KO,1,momentum,605,100,0.013336953916746568,0.4444444444444444,0.0
KO,1,always_up,605,100,,0.494949494949495,0.0
KO,1,arima,605,100,0.00919758414381111,0.48484848484848486,1.2
KO,1,prophet,605,100,0.00899046537092111,0.5656565656565656,0.18
KO,1,xgboost,605,100,0.00951063435168112,0.5656565656565656,0.16
KO,1,lstm_returns,605,100,0.009195514609655231,0.494949494949495,4.62
KO,2,persistence_zero,705,100,0.00782443945125657,,0.0
KO,2,momentum,705,100,0.011321283024537433,0.40404040404040403,0.0
KO,2,always_up,705,100,,0.5656565656565656,0.0
KO,2,arima,705,100,0.007797441090385403,0.5656565656565656,0.96
KO,2,prophet,705,100,0.008212576562344299,0.48484848484848486,0.15
KO,2,xgboost,705,100,0.008248783203934268,0.494949494949495,0.14
KO,2,lstm_returns,705,100,0.0078109283448735325,0.5353535353535354,2.76
KO,3,persistence_zero,805,100,0.007921428835562868,,0.0
KO,3,momentum,805,100,0.011043391767996747,0.5204081632653061,0.0
KO,3,always_up,805,100,,0.6020408163265306,0.0
KO,3,arima,805,100,0.007866370155147745,0.6020408163265306,1.13
KO,3,prophet,805,100,0.008130239647464996,0.5306122448979592,0.16
KO,3,xgboost,805,100,0.008292979315385255,0.6020408163265306,0.14
KO,3,lstm_returns,805,100,0.007845857959006074,0.6020408163265306,3.17
KO,4,persistence_zero,905,100,0.008419067594589043,,0.0
KO,4,momentum,905,100,0.011981885620373969,0.5102040816326531,0.0
KO,4,always_up,905,100,,0.4897959183673469,0.0
KO,4,arima,905,100,0.008475558335546779,0.4897959183673469,1.51
KO,4,prophet,905,100,0.009388127910772436,0.42857142857142855,0.21
KO,4,xgboost,905,100,0.009758282193363676,0.46938775510204084,0.18
KO,4,lstm_returns,905,100,0.008521045973081778,0.46938775510204084,4.47
